v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29
6.124089911478726e-05	6.430380144439462e-05	-2.7971144917036514e-07	6.379894829470548e-05	6.403104321438313e-05	-3.380538667845187e-05	3.778849549660284e-07	-2.801298998845807e-06	1.267773474056934e-05	-1.7601016912678502e-06	1.083813637490804e-06	4.825929205776419e-07	-2.0992081560262742e-07	-5.699241486119181e-07	5.323566982552811e-06	-1.0176514868904354e-05	3.788566592257965e-06	-5.3068419338114385e-09	-6.294215549041959e-06	-4.915842673170985e-06	5.281250457434479e-10	-2.1649488011630966e-07	-5.204803478046988e-05	-1.8499421075857295e-06	1.4225587613387032e-06	-4.802960016603199e-07	2.0366008850300047e-06	-5.164460014418607e-06	-2.0032935099686994e-07
6.430380144439462e-05	8.387476073333767e-05	-4.407358734436728e-06	7.020735229122153e-05	7.851849244220042e-05	-2.3910151273240895e-05	6.79255537996893e-07	-3.373812396466419e-07	2.360192233341055e-05	-3.065299227044061e-06	6.482456314510375e-07	3.063211533975725e-07	4.887509921161752e-08	-8.404752278039265e-07	2.4157008917200284e-06	2.217136000942354e-05	5.3843606749259e-06	6.728202454944552e-10	-5.235172612294664e-06	-2.51008419454984e-06	1.3407167478738085e-10	-1.0922328006556343e-07	-3.630746693090737e-05	-3.574182088590187e-07	-1.4417321998342126e-06	-1.1669723762852089e-06	9.285945865587644e-07	-2.9266125975194424e-06	-1.305232101019216e-07
-2.7971144917036514e-07	-4.407358734436728e-06	1.1891641081364702e-06	-2.2939341526144826e-06	-4.096158981208285e-06	-2.1059667744129017e-06	3.9363043644333435e-07	-1.6780101564020043e-07	-2.8645589285022826e-06	3.1321789124305485e-07	1.438458319562985e-07	6.126831134963966e-08	-6.658344267749964e-08	4.758286006708927e-08	1.1432247285248276e-06	-8.803469956694071e-06	1.254072178277339e-07	2.4318929988135948e-11	-4.017098979500408e-07	-7.122530028278288e-07	1.007407375502948e-10	-2.4098268149743707e-08	-4.171702240510391e-06	4.073389955991436e-08	7.505542408181347e-07	2.1070030199006543e-07	3.232136237538946e-07	-6.74316886118522e-07	-2.263452371976866e-08
6.379894829470548e-05	7.020735229122153e-05	-2.2939341526144826e-06	8.409043303925146e-05	8.323530766213192e-05	-4.782116258217096e-05	-6.700558947696279e-06	-7.90051461155528e-06	2.1444556689784436e-05	-2.306337975178113e-06	8.006675480544672e-07	3.3634283615199077e-07	-1.5306704320556987e-07	-2.789409656012089e-07	1.2269632859421609e-06	5.766519202794921e-06	-2.606117694735568e-06	-1.2396728253452232e-08	-6.144715597391178e-06	-4.203750155104787e-06	7.541351560910525e-10	-2.2952738308846534e-07	-5.955244263556008e-05	-8.69964936633304e-06	1.3017283157525e-06	-9.322043069978179e-07	1.934315812971757e-06	-4.549353250595843e-06	-1.653466797444515e-07
6.403104321438313e-05	7.851849244220042e-05	-4.096158981208285e-06	8.323530766213192e-05	8.69461597957493e-05	-4.098376943008911e-05	-5.558694244605498e-06	-5.300819173961298e-06	2.6275621677961553e-05	-2.9010704584256873e-06	6.084465944943106e-07	2.679120938476584e-07	-2.1735439073532667e-08	-4.6168123588994525e-07	3.793411235341024e-07	2.0643330110650582e-05	-8.6644525538679e-07	-6.069165244625635e-09	-5.6264435878910175e-06	-3.0125768975060748e-06	5.491383522199068e-10	-1.715123724274535e-07	-5.1131689727447366e-05	-6.994278186097069e-06	-1.240538233204237e-07	-1.2098087268889945e-06	1.3881578730952784e-06	-3.4249665419838295e-06	-1.298284831080734e-07
-3.380538667845187e-05	-2.3910151273240895e-05	-2.1059667744129017e-06	-4.782116258217096e-05	-4.098376943008911e-05	5.229740071440185e-05	8.530741116281264e-06	1.168020741564124e-06	-1.1397971017387454e-05	8.302239087278761e-07	-7.227345780229145e-07	-3.524222264078841e-07	3.028766926690799e-07	-3.6786521138655044e-07	-3.435984016325515e-06	2.265851388315093e-05	3.842358889309395e-06	3.9301454034955265e-10	5.709737910089508e-06	5.219799881991976e-06	-9.804132179933047e-10	3.230103653835326e-07	7.09887551349411e-05	1.1228113511701517e-05	-3.931776070002408e-06	-1.9474541079288355e-08	-2.5843933851267125e-06	5.195687236861126e-06	1.1492584785902132e-07
3.778849549660284e-07	6.79255537996893e-07	3.9363043644333435e-07	-6.700558947696279e-06	-5.558694244605498e-06	8.530741116281264e-06	4.548130330216536e-06	-1.9950518179084884e-07	-2.00237228775265e-06	3.922560930510389e-08	1.0409840572952475e-07	5.4879979879391865e-08	2.70178093539644e-08	-1.2053192022073823e-07	1.0663595777451068e-06	-1.241850175604332e-07	1.9728910095440955e-06	4.949820899061464e-09	5.388898112336222e-08	1.6893064831755568e-07	-2.52299754771894e-10	3.724227650698432e-08	8.744589137644766e-06	4.483978248392253e-06	-1.7328939809662978e-07	2.215015497182243e-07	2.764776832344174e-08	1.3901960369457596e-07	-2.383650182044867e-08
-2.801298998845807e-06	-3.373812396466419e-07	-1.6780101564020043e-07	-7.90051461155528e-06	-5.300819173961298e-06	1.168020741564124e-06	-1.9950518179084884e-07	1.1120648063891715e-05	2.270425272404077e-06	-5.501443770530186e-07	-2.7147245002013903e-07	-4.891321843266175e-08	3.111796899030264e-08	1.9169229612110145e-07	1.1011050954094761e-06	-3.601688128143014e-06	3.5201125479487335e-06	7.750746769890032e-09	-1.8146625449447654e-07	-1.323140938280567e-07	-5.6994031357065605e-12	-3.973268562455056e-08	-5.052940202142721e-06	-7.822863087030618e-08	-4.34647580498286e-07	8.37251631413965e-09	-1.390176086477973e-07	2.3786073248054583e-08	7.893119854900848e-08
1.267773474056934e-05	2.360192233341055e-05	-2.8645589285022826e-06	2.1444556689784436e-05	2.6275621677961553e-05	-1.1397971017387454e-05	-2.00237228775265e-06	2.270425272404077e-06	1.7981721956414518e-05	-1.7693854972049311e-06	-2.3508568048831796e-07	-4.298867622669547e-08	1.8824337194210517e-07	9.331501066079272e-08	-1.6389153313400879e-06	2.6828984655468338e-05	-1.7312548745965164e-06	1.571618461050146e-08	-1.0282491882945535e-06	5.963432726391055e-07	-5.5433445600462696e-12	-2.067266883474996e-08	-1.2072462638712593e-05	-2.1443020593676673e-06	-8.153679433801762e-07	-3.5859322028756315e-07	2.0050453442516627e-07	4.265555680507649e-07	3.753708223463417e-08
-1.7601016912678502e-06	-3.065299227044061e-06	3.1321789124305485e-07	-2.306337975178113e-06	-2.9010704584256873e-06	8.302239087278761e-07	3.922560930510389e-08	-5.501443770530186e-07	-1.7693854972049311e-06	2.6809980175829734e-07	3.3707174494379344e-08	6.55313565874447e-09	-1.9002637593344705e-08	-9.901502675710037e-09	8.903223096760242e-08	-2.5161737798055266e-06	-5.635545214018063e-08	-1.6921789925923388e-09	9.510019830840053e-08	2.688934267736349e-09	3.360196556780917e-11	6.474279465336875e-09	9.393148192898492e-07	4.6021267712953423e-08	1.2757024255676722e-07	4.433762905584388e-08	-1.3714846151749496e-08	8.214197508036318e-09	-5.187990340502556e-09
1.083813637490804e-06	6.482456314510375e-07	1.438458319562985e-07	8.006675480544672e-07	6.084465944943106e-07	-7.227345780229145e-07	1.0409840572952475e-07	-2.7147245002013903e-07	-2.3508568048831796e-07	3.3707174494379344e-08	5.686532847453749e-08	2.170364051922829e-08	-1.2834333005529275e-08	-3.625903735335871e-08	2.896673352894695e-07	-1.2237733327223928e-06	9.901493036791167e-08	4.1537099146523e-11	-1.498821002093844e-07	-1.6682558848241645e-07	3.040456304014151e-11	-6.852890858332649e-09	-1.3615443520407598e-06	2.1887534303316987e-08	1.0870816091465696e-07	1.513409536773125e-08	7.178632617977306e-08	-1.6997541073830125e-07	-9.579362226726046e-09
4.825929205776419e-07	3.063211533975725e-07	6.126831134963966e-08	3.3634283615199077e-07	2.679120938476584e-07	-3.524222264078841e-07	5.4879979879391865e-08	-4.891321843266175e-08	-4.298867622669547e-08	6.55313565874447e-09	2.170364051922829e-08	9.19136977872533e-09	-5.056477844546276e-09	-1.0405527767007293e-08	1.2851116656609552e-07	-5.238599799366698e-07	5.503281731151892e-08	1.0693494135854688e-10	-7.437074690308039e-08	-7.51689246130317e-08	1.0756981299613958e-11	-3.283823931331326e-09	-6.800432408456776e-07	1.5724977431364157e-08	4.9126397609323775e-08	7.797583990276159e-09	3.468936079934745e-08	-7.59960900777417e-08	-3.6028806190561536e-09
-2.0992081560262742e-07	4.887509921161752e-08	-6.658344267749964e-08	-1.5306704320556987e-07	-2.1735439073532667e-08	3.028766926690799e-07	2.70178093539644e-08	3.111796899030264e-08	1.8824337194210517e-07	-1.9002637593344705e-08	-1.2834333005529275e-08	-5.056477844546276e-09	6.678990863435173e-09	4.6401047352549775e-10	-7.618579577166854e-08	7.003109632176029e-07	-2.0487884977017506e-08	2.5878892233672396e-10	4.838775866666246e-08	6.820089183449271e-08	-8.441128220251254e-12	3.2946807131599413e-09	5.28990568725725e-07	5.254669141334655e-08	-5.005117997532626e-08	-5.546390902264693e-09	-2.2769028116095592e-08	6.448682565130719e-08	2.023114610673996e-09
-5.699241486119181e-07	-8.404752278039265e-07	4.758286006708927e-08	-2.789409656012089e-07	-4.6168123588994525e-07	-3.6786521138655044e-07	-1.2053192022073823e-07	1.9169229612110145e-07	9.331501066079272e-08	-9.901502675710037e-09	-3.625903735335871e-08	-1.0405527767007293e-08	4.6401047352549775e-10	9.663996912080052e-08	-1.9403802658455522e-07	-3.0504156932560953e-07	-1.389017293261472e-07	-3.785550005133909e-10	-5.494270155833005e-08	-1.819924501817019e-11	-2.956992474463481e-11	-2.0046749877364367e-10	-7.872274025595903e-08	-1.417528296993458e-07	7.811572075802433e-08	3.769122921000749e-08	3.005763154081353e-08	7.792385367557669e-09	5.380265984313235e-09
